№,Name,Status,Test data/comments
1,Изменить язык сайта с украинского на русский.,упал,Баг -  Наименования некоторых товаров на украинсокм языке.
2,Изменить язык сайта с русского на украинский.,прошел,
3,Проверить ползунок диапазона цены.,прошел,Цены от 20 до 200 гривен.
4,Применить подбор по параметру Бренд.,прошел,
5,Применить подбор по параметру Товар в наличии.,прошел,
6,Отсортировать товары по отзывам.,упал,Баг - Сортировка товаров по отзывам не работает.
7,Посмотреть отзывы.,прошел,
8,Отправить отзыв.,прошел,"Оценка 4 звезды. Текст отзыва ""Тестовая проверка отправки отзыва."""
9,Проверитть подписку на отзывы.,прошел,
10,Добавить 1.8 товара в корзину.,прошел,Осуществляется проверка на указание целых чисел.
11,"Проверить кнопку ""Сообщить о наличии"".",прошел,
12,"Применить подбор по параметру Цвет для раздела Ручки, карандаши.",прошел,
13,Добавить товары в список желаний.,прошел,
14,Просмотреть список желаний.,прошел,
15,Перейти в раздел Художественная литература.,прошел,
16,Посмотреть рецензии.,прошел,
17,Добавить рецензию.,прошел,"Оценка 4 звезды. Название рецензии ""Тест."". Ваша рецензия ""Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.
Минимальный размер рецензии - 500 символов. Увеличьте, пожалуйста, размер вашей рецензии.."""
18,Подписаться на рецензии.,прошел,
19,Посмотреть обложку книги.,прошел,
20,Посмотреть отрывок книги.,прошел,
21,Проверить подсчет хитов продаж.,упал,Баг - В списке 6 товаров отмечены Хит продаж. В подсчете продуктов в категории Хит продаж 3 шт.
22,Проверить подсчет новинок.,упал,Баг - В списке 3 товаров отмечены Новинка. В подсчете продуктов в категории Новинка 2 шт.
23,Оформить заказ.,прошел,
24,"Проверить, что нельзя ввести недействительный промокод.",прошел,
26,Удалить позицию из корзины.,прошел,